Date,Inbound,Outbound
2015-08-08,0.61,0.81
2015-08-09,0.59,0.80
2015-08-10,0.56,0.81
2015-08-11,0.56,0.81
2015-08-12,0.55,0.81
2015-08-13,0.55,0.81
2015-08-14,0.56,0.82
2015-08-15,0.62,0.82
2015-08-16,0.59,0.79
2015-08-17,0.55,0.81
2015-08-19,0.56,0.81
2015-08-20,0.54,0.81
2015-08-21,0.55,0.81
2015-08-22,0.61,0.82
2015-08-23,0.60,0.80
2015-08-24,0.57,0.81
2015-08-25,0.55,0.81
2015-08-26,0.56,0.81
2015-08-27,0.55,0.81
2015-08-28,0.57,0.81
2015-08-29,0.64,0.82
2015-08-30,0.63,0.80
2015-09-02,0.59,0.80
2015-09-03,0.56,0.80
2015-09-04,0.57,0.81
2015-09-05,0.62,0.81
2015-09-06,0.62,0.79
2015-09-07,0.59,0.80
2015-09-08,0.57,0.80
2015-09-09,0.57,0.80
2015-09-10,0.55,0.80
2015-09-11,0.57,0.81
2015-09-12,0.62,0.81
2015-09-13,0.61,0.80
2015-09-14,0.58,0.81
2015-09-15,0.57,0.80
2015-09-16,0.56,0.80
2015-09-17,0.56,0.80
2015-09-18,0.57,0.81
2015-09-19,0.63,0.81
2015-09-20,0.62,0.81
2015-09-21,0.58,0.81
2015-09-22,0.57,0.81
2015-09-23,0.57,0.81
2015-09-24,0.56,0.80
2015-09-25,0.57,0.81
2015-09-26,0.62,0.81
2015-09-27,0.62,0.80
2015-09-28,0.58,0.81
2015-09-29,0.58,0.81
2015-09-30,0.57,0.81
2015-10-01,0.57,0.81
2015-10-02,0.59,0.81
2015-10-03,0.64,0.82
2015-10-04,0.63,0.80
2015-10-05,0.59,0.81
2015-10-07,0.58,0.81
2015-10-10,0.64,0.81
2015-10-11,0.63,0.81
2015-10-12,0.59,0.82
2015-10-13,0.58,0.81
2015-10-14,0.58,0.81
2015-10-16,0.58,0.81
2015-10-17,0.65,0.81
2015-10-18,0.61,0.80
2015-10-19,0.59,0.81
2015-10-20,0.57,0.81
2015-10-24,0.64,0.82
2015-10-25,0.63,0.80
2015-10-26,0.58,0.81
2015-10-27,0.58,0.81
2015-10-28,0.57,0.81
2015-10-29,0.55,0.81
2015-10-30,0.56,0.82
2015-10-31,0.62,0.82
2015-11-01,0.61,0.80
2015-11-02,0.58,0.82
2015-11-03,0.57,0.81
2015-11-04,0.57,0.81
2015-11-07,0.62,0.82
2015-11-08,0.62,0.80
2015-11-09,0.58,0.81
2015-11-10,0.57,0.81
2015-11-11,0.57,0.81
2015-11-12,0.56,0.81
2015-11-13,0.56,0.82
2015-11-14,0.63,0.82
2015-11-15,0.61,0.80
2015-11-16,0.58,0.81
2015-11-18,0.55,0.81
2015-11-24,0.55,0.81
2015-11-26,0.53,0.79
2015-11-27,0.51,0.80
2015-11-28,0.59,0.82
2015-11-29,0.57,0.80
2015-11-30,0.52,0.82
2015-12-02,0.56,0.81
2015-12-03,0.55,0.81
2015-12-04,0.56,0.82
2015-12-05,0.60,0.82
2015-12-06,0.60,0.80
2015-12-07,0.56,0.82
2015-12-08,0.56,0.82
2015-12-09,0.55,0.81
2015-12-10,0.55,0.81
2015-12-11,0.56,0.82
2015-12-12,0.61,0.82
2015-12-13,0.60,0.80
2015-12-14,0.56,0.81
2015-12-15,0.55,0.81
2015-12-16,0.55,0.81
2015-12-17,0.54,0.81
2015-12-18,0.55,0.81
2015-12-19,0.61,0.81
2015-12-20,0.61,0.80
2015-12-21,0.56,0.81
2015-12-22,0.57,0.81
2015-12-23,0.56,0.80
2015-12-24,0.60,0.79
2015-12-25,0.63,0.79
2015-12-26,0.62,0.81
2015-12-27,0.63,0.80
2015-12-28,0.58,0.81
2015-12-29,0.59,0.82
2015-12-30,0.58,0.82
2015-12-31,0.62,0.82
2016-01-02,0.65,0.83
2016-01-03,0.63,0.81
2016-01-04,0.60,0.82
2016-01-05,0.58,0.81
2016-01-06,0.58,0.82
2016-01-07,0.57,0.81
2016-01-08,0.59,0.82
2016-01-09,0.64,0.82
2016-01-10,0.64,0.81
2016-01-11,0.60,0.82
2016-01-12,0.58,0.82
2016-01-13,0.58,0.82
2016-01-14,0.57,0.82
2016-01-15,0.58,0.82
2016-01-16,0.64,0.82
2016-01-17,0.63,0.80
2016-01-18,0.59,0.81
2016-01-19,0.58,0.82
2016-01-20,0.58,0.82
2016-01-22,0.57,0.82
2016-01-23,0.63,0.83
2016-01-24,0.61,0.81
2016-01-25,0.58,0.82
2016-01-26,0.59,0.82
2016-01-27,0.57,0.82
2016-01-28,0.56,0.82
2016-01-29,0.57,0.82
2016-01-30,0.62,0.83
2016-01-31,0.62,0.81
2016-02-01,0.59,0.82
2016-02-02,0.58,0.82
2016-02-03,0.57,0.82
2016-02-04,0.56,0.82
2016-02-05,0.58,0.83
2016-02-06,0.63,0.83
2016-02-07,0.62,0.81
2016-02-08,0.59,0.83
2016-02-09,0.58,0.83
2016-02-10,0.58,0.83
2016-02-11,0.58,0.83
2016-02-12,0.61,0.83
2016-02-13,0.66,0.83
2016-02-14,0.64,0.81
2016-02-15,0.64,0.82
2016-02-16,0.64,0.82
2016-02-17,0.64,0.82
2016-02-18,0.64,0.82
2016-02-19,0.65,0.83
2016-02-20,0.69,0.83
2016-02-21,0.68,0.81
2016-02-22,0.66,0.83
2016-02-23,0.66,0.83
2016-02-24,0.65,0.83
2016-02-25,0.66,0.82
2016-02-26,0.67,0.83
2016-02-27,0.71,0.84
2016-02-28,0.69,0.82
2016-02-29,0.67,0.83
2016-03-01,0.68,0.83
2016-03-02,0.68,0.83
2016-03-03,0.67,0.83
2016-03-04,0.68,0.83
2016-03-05,0.72,0.84
2016-03-06,0.72,0.82
2016-03-07,0.70,0.83
2016-03-08,0.68,0.83
2016-03-09,0.68,0.83
2016-03-10,0.69,0.83
2016-03-11,0.70,0.84
2016-03-12,0.74,0.84
2016-03-13,0.73,0.82
2016-03-14,0.70,0.83
2016-03-15,0.69,0.83
2016-03-16,0.69,0.83
2016-03-17,0.69,0.83
2016-03-18,0.69,0.84
2016-03-19,0.74,0.84
2016-03-20,0.73,0.83
2016-03-21,0.70,0.83
2016-03-22,0.70,0.83
2016-03-23,0.70,0.83
2016-03-24,0.70,0.83
2016-03-25,0.72,0.84
2016-03-26,0.75,0.84
2016-03-27,0.75,0.82
2016-03-28,0.72,0.84
2016-03-29,0.71,0.84
2016-03-30,0.71,0.84
2016-03-31,0.71,0.83
2016-04-01,0.71,0.84
2016-04-02,0.76,0.85
2016-04-03,0.75,0.83
2016-04-04,0.73,0.84
2016-04-05,0.72,0.84
2016-04-06,0.72,0.84
2016-04-07,0.71,0.84
2016-04-08,0.72,0.84
2016-04-09,0.77,0.85
2016-04-10,0.76,0.83
2016-04-11,0.74,0.84
2016-04-12,0.73,0.84
2016-04-13,0.73,0.84
2016-04-14,0.73,0.84
2016-04-15,0.73,0.84
2016-04-16,0.77,0.85
2016-04-17,0.77,0.83
2016-04-18,0.74,0.84
2016-04-19,0.74,0.84
2016-04-20,0.72,0.84
2016-04-21,0.72,0.85
2016-04-22,0.73,0.85
2016-04-23,0.77,0.85
2016-04-24,0.77,0.83
2016-04-25,0.74,0.84
2016-04-26,0.74,0.84
2016-04-27,0.73,0.84
2016-04-28,0.73,0.84
2016-04-29,0.73,0.85
2016-04-30,0.78,0.85
2016-05-01,0.78,0.84
2016-05-02,0.75,0.85
2016-05-03,0.74,0.85
2016-05-04,0.74,0.85
2016-05-05,0.74,0.84
2016-05-06,0.75,0.85
2016-05-07,0.78,0.85
2016-05-08,0.78,0.83
2016-05-09,0.75,0.84
2016-05-10,0.74,0.84
2016-05-11,0.74,0.84
2016-05-12,0.74,0.84
2016-05-13,0.74,0.84
2016-05-14,0.78,0.85
2016-05-15,0.78,0.83
2016-05-16,0.75,0.84
2016-05-17,0.74,0.84
2016-05-18,0.74,0.84
2016-05-19,0.73,0.84
2016-05-20,0.74,0.85
2016-05-21,0.78,0.85
2016-05-22,0.77,0.83
2016-05-23,0.75,0.85
2016-05-24,0.75,0.85
2016-05-25,0.74,0.85
2016-05-26,0.74,0.85
2016-05-27,0.75,0.85
2016-05-28,0.78,0.85
2016-05-29,0.78,0.83
2016-05-30,0.75,0.83
2016-05-31,0.75,0.85
2016-06-01,0.74,0.85
2016-06-02,0.75,0.85
2016-06-03,0.75,0.85
2016-06-04,0.79,0.85
2016-06-05,0.78,0.84
2016-06-06,0.75,0.85
2016-06-07,0.75,0.85
2016-06-08,0.75,0.85
2016-06-09,0.75,0.85
2016-06-10,0.75,0.85
2016-06-11,0.79,0.85
